Timecode,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25
2021-01-02T00:00:00.0,0.0,0.0,0.0,0.0,0.075,0.0,0.003,0.003,0.0,0.0,0.34800000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0
2021-01-02T01:00:00.0,0.009000000000000001,0.003,0.0,0.0,0.0,0.0,0.003,0.003,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.003,0.0,0.003,0.0,0.0,0.0,0.006,0.0
2021-01-02T02:00:00.0,0.012,0.003,0.0,0.003,0.003,0.0,0.163,0.003,0.0,0.0,0.003,0.0,0.003,0.0,0.0,0.003,0.003,0.003,0.003,0.006,0.0,0.003,0.003,0.006,0.006
2021-01-02T03:00:00.0,0.012,0.006,0.003,0.003,0.003,0.003,0.163,0.003,0.0,0.003,0.003,0.003,0.003,0.003,0.0,0.003,0.003,0.003,0.006,0.006,0.0,0.003,0.003,0.006,0.006
2021-01-02T04:00:00.0,0.012,0.006,0.003,0.003,0.003,0.003,0.163,0.003,0.003,0.003,0.003,0.003,0.003,0.006,0.003,0.003,0.003,0.003,0.006,0.006,0.003,0.003,0.003,0.006,0.006
2021-01-02T05:00:00.0,0.012,0.006,0.003,0.003,0.003,0.003,0.163,0.0,0.003,0.003,0.003,0.003,0.003,0.006,0.003,0.003,0.003,0.006,0.006,0.006,0.003,0.006,0.003,0.006,0.006
2021-01-02T06:00:00.0,0.012,0.006,0.003,0.003,0.003,0.003,0.16,0.0,0.003,0.003,0.003,0.003,0.003,0.006,0.003,0.003,0.003,0.006,0.006,0.006,0.003,0.006,0.003,0.003,0.006
2021-01-02T07:00:00.0,0.006,0.003,0.003,0.0,0.003,0.003,0.16,0.0,0.003,0.003,0.003,0.003,0.003,0.006,0.003,0.0,0.003,0.003,0.006,0.006,0.003,0.003,0.003,0.003,0.006
2021-01-02T08:00:00.0,0.0,0.003,0.003,0.0,0.003,0.003,0.16,0.0,0.003,0.003,0.003,0.0,0.0,0.006,0.003,0.0,0.0,0.003,0.003,0.003,0.003,0.003,0.0,0.0,0.006
2021-01-02T09:00:00.0,0.0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.003,0.0,0.0,0.003,0.003,0.0,0.0,0.0
